variant,seed,split_mode,split_seed,MAE,RMSE,MAPE,WAPE,MAE_commercial,MAE_residential,MAE_industrial,MAE_school,MAE_university,MAE_hospital,MAE_transport,MAE_park,MAE_multi_zone,best_val_MAE,epochs_run,n_params,train_time_s,device,status,timestamp
lstm,42,chrono,-1,0.246889054775238,0.3039408326148987,18.416287004947662,19.265696478695286,0.2444040477275848,0.2460026293992996,0.2524410486221313,0.2453613430261612,0.2477817386388778,0.2430196404457092,0.245398610830307,0.2439871728420257,0.2461904734373092,0.2431109100580215,17,669080,2.3,cpu,ok,2026-09-12T20:21:03
lstm,43,chrono,-1,0.2489735335111618,0.2995459139347076,18.81492584943772,19.42835684788381,0.2461944669485092,0.2480195015668869,0.2539890110492706,0.2477280497550964,0.2493757009506225,0.2456106692552566,0.2474465817213058,0.2467575073242187,0.2482053637504577,0.2462497353553772,17,669080,2.3,cpu,ok,2026-09-12T20:21:05
lstm,44,chrono,-1,0.2458084523677826,0.2963940501213074,18.5530349612236,19.1813731179096,0.2430947721004486,0.2454490512609481,0.2508341372013092,0.2447369694709777,0.2483687698841095,0.241790771484375,0.2446608394384384,0.242665559053421,0.245262324810028,0.2429755479097366,17,669080,2.3,cpu,ok,2026-09-12T20:21:08
lstm,45,chrono,-1,0.2527168095111847,0.3008427917957306,19.405244290828705,19.720458237382267,0.2498387545347213,0.2521107792854309,0.2581066489219665,0.251277893781662,0.2539113461971283,0.2487894892692566,0.2511332631111145,0.2498634904623031,0.2520238161087036,0.2513178586959839,17,669080,2.2,cpu,ok,2026-09-12T20:21:10
lstm,46,chrono,-1,0.2466143667697906,0.2992121279239654,18.49263161420822,19.244261475001863,0.2437461614608764,0.2460483312606811,0.2518497705459595,0.2458361238241195,0.2491905242204666,0.2425314635038375,0.244907259941101,0.2440587878227234,0.2459768503904342,0.2434691041707992,17,669080,2.2,cpu,ok,2026-09-12T20:21:12
gcn_gru,42,chrono,-1,0.2513223588466644,0.3081105947494507,18.949906527996063,19.611643382567017,0.2486196160316467,0.2507742047309875,0.256579726934433,0.2500995099544525,0.2529346942901611,0.2477727830410003,0.2498771846294403,0.2489435672760009,0.2506807446479797,0.2490315735340118,17,34072,1.6,cpu,ok,2026-09-12T20:21:14
gcn_gru,43,chrono,-1,0.2527192234992981,0.3104849755764007,18.939343094825745,19.7206465969628,0.2500820457935333,0.2521698474884033,0.2577770054340362,0.2515750825405121,0.2542100548744201,0.2494612038135528,0.2512907981872558,0.2504797577857971,0.2520983517169952,0.2501455545425415,17,34072,1.6,cpu,ok,2026-09-12T20:21:15
gcn_gru,44,chrono,-1,0.2476502805948257,0.3006620407104492,18.788228929042816,19.325097809267344,0.2451089918613433,0.2471333444118499,0.2524896264076233,0.2465275079011917,0.2489046156406402,0.2444820553064346,0.2463124990463256,0.2451609373092651,0.2470510601997375,0.2467369437217712,17,34072,1.5,cpu,ok,2026-09-12T20:21:17
gcn_gru,45,chrono,-1,0.2590269446372986,0.3290110528469085,19.252541661262512,20.212863420809835,0.256514698266983,0.2584992945194244,0.263841837644577,0.2579255104064941,0.2604001462459564,0.255749374628067,0.2576697170734405,0.2567983567714691,0.2584214210510254,0.2564009428024292,19,34072,1.7,cpu,ok,2026-09-12T20:21:19
gcn_gru,46,chrono,-1,0.2564659118652344,0.3073752522468567,19.564859569072723,20.01301548872268,0.2537199854850769,0.2558673918247223,0.2619064152240753,0.2552841901779175,0.2582786381244659,0.2529947757720947,0.2549320161342621,0.2542943060398102,0.2558019161224365,0.255215972661972,17,34072,1.6,cpu,ok,2026-09-12T20:21:20
stgcn,42,chrono,-1,0.2732223570346832,0.3430482447147369,20.380350947380062,21.320585536801115,0.2706200778484344,0.2725293338298797,0.2784416377544403,0.2719341516494751,0.2751352488994598,0.2693267464637756,0.2718767523765564,0.2713026404380798,0.2725590765476227,0.2685527801513672,17,33944,2.5,cpu,ok,2026-09-12T20:21:23
stgcn,43,chrono,-1,0.2655254602432251,0.3166488111019134,20.40220648050308,20.71996698293309,0.2629216909408569,0.2649076282978058,0.2705225944519043,0.2642313539981842,0.2667746543884277,0.2621237635612488,0.2641977071762085,0.2631001472473144,0.2648994624614715,0.2632558643817901,16,33944,2.2,cpu,ok,2026-09-12T20:21:25
stgcn,44,chrono,-1,0.2673225104808807,0.3261580467224121,20.32679170370102,20.86019831635616,0.2650827765464782,0.2670602798461914,0.2712828516960144,0.2662456035614013,0.2677330374717712,0.2641907036304474,0.2662010192871094,0.2638335525989532,0.2668437063694,0.2646629214286804,16,33944,2.2,cpu,ok,2026-09-12T20:21:27
stgcn,45,chrono,-1,0.2579269111156463,0.3113237023353576,19.684748351573944,20.12702368625821,0.2554650604724884,0.2575281262397766,0.2625489830970764,0.2569082081317901,0.2589278221130371,0.2551721334457397,0.2565793693065643,0.2551988661289215,0.25738525390625,0.2557344436645508,16,33944,2.2,cpu,ok,2026-09-12T20:21:29
stgcn,46,chrono,-1,0.2640080451965332,0.31883352994918823,20.18982172012329,20.601556869486217,0.26128676533699036,0.2633824944496155,0.26933014392852783,0.26277655363082886,0.26562148332595825,0.2607075273990631,0.26259875297546387,0.2618243098258972,0.2633613049983978,0.261394202709198,16,33944,2.4,cpu,ok,2026-09-12T20:21:32
