variant,seed,split_mode,split_seed,MAE,RMSE,MAPE,MAE_commercial,MAE_residential,MAE_industrial,MAE_school,MAE_university,MAE_hospital,MAE_transport,MAE_park,MAE_multi_zone,best_val_MAE,epochs_run,n_params,train_time_s,device,status,timestamp
zone_full_tc,42,random_fixed,42,0.0762004181742668,0.1310156881809234,5.739681422710419,0.0749672874808311,0.0770504102110862,0.0822774246335029,0.0751735568046569,0.0800811946392059,0.0776305124163627,0.0744356513023376,0.0750463232398033,0.0761096328496933,0.0804904699325561,100,358788,32.7,cpu,ok,2026-08-22T00:03:35
zone_full_tc,43,random_fixed,42,0.0794485285878181,0.1342374235391616,6.005857512354851,0.0779763087630271,0.0812938660383224,0.0885754823684692,0.0787761732935905,0.0861725285649299,0.0817324891686439,0.0768173262476921,0.077159583568573,0.0795445442199707,0.0801997408270835,100,358788,31.7,cpu,ok,2026-08-22T00:04:07
zone_full_tc,44,random_fixed,42,0.0926157757639885,0.1495372653007507,6.849184632301331,0.091134637594223,0.0932380855083465,0.1081712543964386,0.0868388786911964,0.1002059802412986,0.093205839395523,0.0907298400998115,0.0884584784507751,0.0927068591117858,0.0944112613797187,77,358788,24.0,cpu,ok,2026-08-22T00:04:31
zone_full_tc,45,random_fixed,42,0.0769523829221725,0.1335352957248687,5.726433545351028,0.0751431435346603,0.0783238559961319,0.0874600335955619,0.0762117505073547,0.0825476646423339,0.0788564011454582,0.0743241161108017,0.073708064854145,0.0766458511352539,0.0759551301598548,100,358788,32.2,cpu,ok,2026-08-22T00:05:03
zone_full_tc,46,random_fixed,42,0.0805390700697898,0.1349991261959076,6.047310680150986,0.0787826403975486,0.0820692852139473,0.0948881059885025,0.0807259529829025,0.0932950600981712,0.0837223306298255,0.0776643231511116,0.0777144059538841,0.0807943046092987,0.083841286599636,90,358788,29.0,cpu,ok,2026-08-22T00:05:32
zone_full_sinc,42,random_fixed,42,0.073938213288784,0.1307705342769622,5.535277724266052,0.0735907405614852,0.0740861222147941,0.0792054459452629,0.075535349547863,0.0763223618268966,0.0771628469228744,0.0722207427024841,0.0718210563063621,0.0738377571105957,0.0746142044663429,100,361428,34.0,cpu,ok,2026-08-22T00:06:06
zone_full_sinc,43,random_fixed,42,0.0741966292262077,0.1278000324964523,5.625126510858536,0.0731634497642517,0.074983924627304,0.0856673344969749,0.0742538496851921,0.080031894147396,0.0778460800647735,0.0704888552427291,0.0705622434616088,0.0739602893590927,0.0768383592367172,100,361428,33.6,cpu,ok,2026-08-22T00:06:40
zone_full_sinc,44,random_fixed,42,0.0807331502437591,0.1387909501791,6.037504971027374,0.0790659561753273,0.0823553651571273,0.0969502925872802,0.0779029726982116,0.0884076356887817,0.0837278664112091,0.0774786472320556,0.0736182555556297,0.080700434744358,0.0797670185565948,100,361428,34.2,cpu,ok,2026-08-22T00:07:14
zone_full_sinc,45,random_fixed,42,0.08135786652565,0.1374347060918808,6.029782071709633,0.0777813494205474,0.0828064456582069,0.1032534167170524,0.0785967633128166,0.0945992693305015,0.08286914229393,0.0772396177053451,0.0752555429935455,0.0812604203820228,0.0849026441574096,96,361428,32.9,cpu,ok,2026-08-22T00:07:47
zone_full_sinc,46,random_fixed,42,0.0780185610055923,0.1326582729816436,5.868633463978767,0.0765309110283851,0.0784555524587631,0.0928115174174308,0.0794359147548675,0.0880851447582244,0.0817297995090484,0.0745062604546547,0.0768811330199241,0.0778698548674583,0.0791849493980407,98,361428,34.4,cpu,ok,2026-08-22T00:08:21
lstm,42,random_fixed,42,0.2150217890739441,0.3017357289791107,15.723349153995514,0.2096817046403885,0.218540146946907,0.2580071091651916,0.228033646941185,0.2488726824522018,0.2234385460615158,0.2018648087978363,0.2052238881587982,0.2140461206436157,0.2266601771116256,29,623027,4.0,cpu,ok,2026-08-22T00:08:25
lstm,43,random_fixed,42,0.2227264940738678,0.3106824457645416,16.4411798119545,0.2171287685632705,0.2264649718999862,0.2685219645500183,0.2371976822614669,0.2580024600028991,0.2319456785917282,0.2082587927579879,0.2118590921163559,0.2216552495956421,0.2329577505588531,23,623027,2.8,cpu,ok,2026-08-22T00:08:28
lstm,44,random_fixed,42,0.23134645819664,0.3470574617385864,15.72086215019226,0.2262907028198242,0.2346773892641067,0.2707759737968445,0.2436073869466781,0.2617746889591217,0.238836795091629,0.2188176065683365,0.2221062034368515,0.2302923053503036,0.2338731288909912,37,623027,5.2,cpu,ok,2026-08-22T00:08:33
lstm,45,random_fixed,42,0.2270914018154144,0.3335506021976471,15.885531902313232,0.2219567000865936,0.2303741425275802,0.2671028077602386,0.2391486316919326,0.2581809759140014,0.2342453002929687,0.2143955826759338,0.2176543176174163,0.226069837808609,0.2322496175765991,25,623027,3.4,cpu,ok,2026-08-22T00:08:37
lstm,46,random_fixed,42,0.2275177389383316,0.3293075561523437,16.240234673023224,0.2222658991813659,0.2309468239545822,0.2686814665794372,0.2399182617664337,0.2595343589782715,0.2351226061582565,0.2145326733589172,0.2178951203823089,0.2264692783355713,0.2347053438425064,25,623027,3.3,cpu,ok,2026-08-22T00:08:40
gcn_gru,42,random_fixed,42,0.0940770506858825,0.1648044139146804,6.790391355752945,0.0900604501366615,0.0943682938814163,0.1289477497339248,0.0988450497388839,0.115860179066658,0.100604809820652,0.0855590254068374,0.0860385596752166,0.0929466933012008,0.1041675880551338,43,32707,3.3,cpu,ok,2026-08-22T00:08:43
gcn_gru,43,random_fixed,42,0.0935309901833534,0.1670968979597091,6.5108321607112885,0.0902469530701637,0.0942430198192596,0.119907222688198,0.0908450558781623,0.1079638227820396,0.0962604135274887,0.0881799012422561,0.0870226398110389,0.0929797366261482,0.0919650048017501,45,32707,3.4,cpu,ok,2026-08-22T00:08:47
gcn_gru,44,random_fixed,42,0.09470896422863,0.1646578013896942,6.6375210881233215,0.0910511761903762,0.0958464443683624,0.1238640546798706,0.095060758292675,0.112234815955162,0.0985642820596695,0.0879705995321273,0.0873317122459411,0.0940568596124649,0.1002878844738006,40,32707,3.0,cpu,ok,2026-08-22T00:08:50
